,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
18,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
19,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
20,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
21,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
22,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
23,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
24,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.29,99.3,148.37,13.07,148.78,0.13705
25,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
26,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
27,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.54,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
28,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705,149.0,163.022497
29,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
30,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.8,4.0,146.83,20.0,146.84,4.0,147.01,47.6229,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
31,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
32,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
33,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
34,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
35,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
36,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
37,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
38,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
39,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
40,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
41,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.17,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
42,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.01,47.6229,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
43,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.02,47.6338,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
44,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.02,47.6338,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.37,13.07,148.78,0.13705,149.0,163.022497
45,145.44,1600.0,145.72,28.396925,145.75,0.171526,145.76,4.0,146.0,13.69863,146.18,25.0,146.19,80.0,146.84,4.0,146.88,20.0,146.89,4.0,147.03,47.6185,147.22,20.0,147.47,50.0,147.99,1566.34458762,148.0,133.43616,148.09,80.0,148.1,10.0,148.21,99.3,148.37,13.07,148.78,0.13705
